Source IS,Target IS,Tenders Citing Source,Tenders Citing Target,Co-citation Count,Confidence,Lift,Evidence Statement
IS 1538,IS 5312,11,8,5,0.455,68.864,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 6005,11,13,5,0.455,42.378,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 6392,11,9,5,0.455,61.212,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 7205,11,6,5,0.455,91.818,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 800,11,27,5,0.455,20.404,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 803,11,5,5,0.455,110.182,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 814,11,11,5,0.455,50.083,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 1538,IS 875,11,48,5,0.455,11.477,Cited alongside IS 1538 in 5 of 11 comparable tenders
IS 15885 (Part 2),IS 16103,11,13,5,0.455,42.378,Cited alongside IS 15885 (Part 2) in 5 of 11 comparable tenders
IS 15885 (Part 2),IS 16104,11,12,5,0.455,45.909,Cited alongside IS 15885 (Part 2) in 5 of 11 comparable tenders
IS 16101,IS 1161,11,18,5,0.455,30.606,Cited alongside IS 16101 in 5 of 11 comparable tenders
IS 16101,IS 16102,11,21,5,0.455,26.234,Cited alongside IS 16101 in 5 of 11 comparable tenders
IS 16101,IS 16108,11,14,5,0.455,39.351,Cited alongside IS 16101 in 5 of 11 comparable tenders
IS 3427,IS 104,11,7,5,0.455,78.701,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 10810,11,24,5,0.455,22.955,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 1239,11,52,5,0.455,10.594,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 2551,11,13,5,0.455,42.378,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 2629,11,33,5,0.455,16.694,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 2633,11,22,5,0.455,25.041,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 325,11,37,5,0.455,14.889,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 4759,11,22,5,0.455,25.041,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 3427,IS 732,11,20,5,0.455,27.545,Cited alongside IS 3427 in 5 of 11 comparable tenders
IS 806,IS 1363,11,11,5,0.455,50.083,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 806,IS 2629,11,33,5,0.455,16.694,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 806,IS 3589,11,29,5,0.455,18.997,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 806,IS 8112,11,33,5,0.455,16.694,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 806,IS 816,11,19,5,0.455,28.995,Cited alongside IS 806 in 5 of 11 comparable tenders
IS 814,IS 1182,11,5,5,0.455,110.182,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 1239,11,52,5,0.455,10.594,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 1538,11,11,5,0.455,50.083,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 2026,11,26,5,0.455,21.189,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 2099,11,20,5,0.455,27.545,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 2595,11,5,5,0.455,110.182,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 2629,11,33,5,0.455,16.694,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 2705,11,29,5,0.455,18.997,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 383,11,26,5,0.455,21.189,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 5082,11,25,5,0.455,22.036,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 554,11,20,5,0.455,27.545,Cited alongside IS 814 in 5 of 11 comparable tenders
IS 814,IS 5831,11,51,5,0.455,10.802,Cited alongside IS 814 in 5 of 11 comparable tenders
