Tender ID,GeM Bid Id,Product Family,IS Numbers Cited,Count,Outdated Citations,Any Outdated,Unmatched Citations,Usability,OCR Pages,OCR Characters,OCR Dropped
GEM/2025/B/6090132,7683866.0,MTD — Metallurgical Engineering Department,IS 696; IS 2102; IS 1572; IS 4454; IS 2507; IS 7814; IS 2500 (PART 1); IS 2102 (16),8,IS 696 (Withdrawn); IS 4454 (Superseded),Yes,,Read by OCR,6,12986,
GEM/2025/B/6091790,7685831.0,CHD — Chemical Department,IS 1747,1,,No,,Read by OCR,2,4198,
GEM/2025/B/6091847,7685893.0,Unclassified,,0,,Not checked,,Read by OCR,1,924,
GEM/2025/B/6090053,7683779.0,PGD — Production And General Engineering Department,IS 10236,1,,No,,Read by OCR,11,10831,
GEM/2025/B/6083142,7675772.0,Unclassified,,0,,Not checked,,Read by OCR,16,57519,
GEM/2025/B/6092998,7687171.0,Unclassified,,0,,Not checked,,Read by OCR,3,2120,
GEM/2025/B/6092984,7687155.0,Unclassified,,0,,Not checked,,Read by OCR,4,5833,
GEM/2025/B/6093467,7687700.0,Unclassified,,0,,Not checked,,Read by OCR,1,2220,
GEM/2025/B/6092896,7687052.0,Unclassified,,0,,Not checked,,Read by OCR,12,20417,
GEM/2025/B/6094916,7689367.0,Unclassified,,0,,Not checked,,Read by OCR,8,16363,
GEM/2025/B/6097310,7692097.0,Unclassified,,0,,Not checked,,Read by OCR,3,701,
GEM/2025/B/6095922,7690513.0,Unclassified,,0,,Not checked,,Read by OCR,12,24057,
GEM/2025/B/6096996,7691741.0,Unclassified,,0,,Not checked,,Read by OCR,7,15253,
GEM/2025/B/6097934,7692835.0,Unclassified,,0,,Not checked,,Read by OCR,2,4059,
GEM/2025/B/6100831,7696185.0,Unclassified,,0,,Not checked,,Read by OCR,2,412,
GEM/2025/B/6101450,7696980.0,Unclassified,,0,,Not checked,,Not extractable,1,106,
GEM/2025/B/6090241,7683985.0,Unclassified,,0,,Not checked,,Read by OCR,24,48539,
GEM/2025/B/6101621,7697178.0,Unclassified,,0,,Not checked,,Not extractable,1,137,
GEM/2025/B/6102124,7697774.0,Unclassified,,0,,Not checked,,Read by OCR,1,1697,
GEM/2025/B/6098345,7693311.0,Unclassified,,0,,Not checked,,Read by OCR,3,6141,
GEM/2025/B/6103004,7698738.0,Unclassified,,0,,Not checked,,Read by OCR,1,227,
GEM/2025/B/6103717,7699532.0,Unclassified,,0,,Not checked,,Read by OCR,1,1697,
GEM/2025/B/6102282,7697947.0,Unclassified,,0,,Not checked,,Read by OCR,2,1981,
GEM/2025/B/6101375,7696890.0,Unclassified,,0,,Not checked,,Read by OCR,3,3843,
GEM/2025/B/6104137,7700005.0,Unclassified,,0,,Not checked,,Not extractable,2,93,
GEM/2025/B/6106056,7702127.0,Unclassified,,0,,Not checked,,Read by OCR,1,661,
GEM/2025/B/6104371,7700265.0,Unclassified,,0,,Not checked,,Read by OCR,2,1353,
GEM/2025/B/6106602,7702711.0,Unclassified,,0,,Not checked,,Not extractable,1,52,
GEM/2025/B/6091516,7685522.0,MSD — Management System Department,IS 2500 (Part-I); IS 2500 (Part-l); IS 2102,3,,No,,Read by OCR,25,36715,
GEM/2025/B/6103976,7699831.0,Unclassified,,0,,Not checked,,Read by OCR,4,4562,
GEM/2025/B/6108756,7705104.0,Unclassified,,0,,Not checked,,Not extractable,1,48,
GEM/2025/B/6108624,7704963.0,Unclassified,,0,,Not checked,,Read by OCR,4,1706,
GEM/2025/B/6110030,7706495.0,Unclassified,,0,,Not checked,,Not extractable,1,142,
GEM/2025/B/6109312,7705703.0,"PCD — Petroleum, Coal And Related Products Department",IS 1460,1,IS 1460 (Superseded),Yes,,Read by OCR,4,5966,
GEM/2025/B/6110344,7706822.0,Unclassified,,0,,Not checked,,Read by OCR,2,3102,
GEM/2025/B/6112216,7708863.0,Unclassified,,0,,Not checked,,Read by OCR,1,1359,
